,,,,,,,,,,,,,,,
Integrated Cold Chain Availability Platform (ICAP) of ANDHRA PRADESH for Year: 2010 - 2011 onwards as on date,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Name of Agency: NATIONAL HORTICULTURE BOARD (NHB),,,,,,,,,,,,,,,
"Component Category: COLD / CA STORAGE,POST HARVEST INFRASTRUCTURE",,,,,,,,,,,,,,,
"Component: CA STORAGE,COLD STORAGE,COLD ROOM,CONVEYOR BELT,GRADING PACKING UNIT,PACK HOUSE,PRE-COOLING,REFER VAN,RIPENING CHAMBER,SPECIALIZED TRANSPORT VEHICLE",,,,,,,,,,,,,,,
District: ALL,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sl. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details,,,,
,,,,,,,,,,,Component Category,Component,No. of Unit(s) / Chamber(s),Capacity,Unit of Capacity
Sl. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details,,,,
,,,,,,,,,,,Component Category,Component,No. of Unit(s) / Chamber(s),Capacity,Unit of Capacity
44,28AP20060000048,Andhra Pradesh,2006-07,Prakasam,M/s Sri Mahalakshmi Cold Storage,Throvagunta,0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,5485,MT
45,28AP20060000038,Andhra Pradesh,2006-07,Prakasam,M/s K Yellamandaiah,"Uppugunduru, Prakasam",0,46.89,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,5000,MT
46,28AP20060000039,Andhra Pradesh,2006-07,Prakasam,M/s Sri Haritha ColdStorage Pvt. Ltd.,Pernamitta,0,42.55,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,5000,MT
47,NCDC-AP-2006-33,Andhra Pradesh,2006-07,Visakhapatnam,"Girijan Cooperative Coroporation Ltd (1st Phase), Fast Point Colony, Vishakhapatnam","Girijan Cooperative Coroporation Ltd (1st Phase), Fast Point Colony, Vishakhapatnam",220,50,Through NCDC,Under Implementation,COLD / CA STORAGE,COLD STORAGE,1,5000,MT
48,NCDC-AP-2006-34,Andhra Pradesh,2006-07,Visakhapatnam,"Girijan Cooperative Coroporation Ltd (2nd Phase), Fast Point Colony, Vishakhapatnam","Girijan Cooperative Coroporation Ltd (2nd Phase), Fast Point Colony, Vishakhapatnam",200,50,Through NCDC,Under Implementation,COLD / CA STORAGE,COLD STORAGE,1,5000,MT
49,28AP20060000029,Andhra Pradesh,2006-07,Krishna,M/s Sai Bhargava Cold Storage Pvt. Ltd.,"Nandigama, Krishna",0,44.63,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,5000,MT
50,28AP20060000030,Andhra Pradesh,2006-07,Krishna,M/s GSR Vanadurga Business Links Pvt. Ltd.,"Vijayawada, Krishna",0,26.57,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,3000,MT
51,28AP20060000028,Andhra Pradesh,2006-07,Guntur,M/s Viswa Cold Storage Pvt. Ltd,"Ankireddypalem, Guntur",0,25,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,2000,MT
52,28AP20060000046,Andhra Pradesh,2006-07,Prakasam,M/s Gayatri Cold Storage,Santhapeta,0,50,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,6000,MT
53,28AP20060000042,Andhra Pradesh,2006-07,Prakasam,M/s Lakshmi Narayana Cold Storage,Pernamitta,0,38.69,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,4000,MT
54,28AP20070000050,Andhra Pradesh,2006-07,Guntur,M/s Tickwell Trexim Pvt. Ltd.,"Ankireddypalem, Guntur",0,37.78,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,6438.35,MT
55,28AP20070000034,Andhra Pradesh,2006-07,Prakasam,M/s Latha Cold STorage,"Ongole, Prakasam",0,48,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,4800,MT
56,28AP20080000052,Andhra Pradesh,2007-08,Krishna,M/s Kadiyala Cold Storage,"Toranaguntapalem, Chillakallu Gram Panchayat, Krishna District",0,46.22,Through NABARD,Completed,COLD / CA STORAGE,COLD STORAGE,0,6415,MT
