,Unnamed: 0,Sr. No.,Project Code,State,Year of Subsidy Sanctioned,District,Name of Beneficiary,Project Address,Total Project Cost(In Lakhs),Total Amount Sanctioned (In Lakhs),Supported By,Current Status of Project,Component Details
36,36,37,28AP20060000037,Andhra Pradesh,2005-06,Guntur,M/s Lakhsmi Malleswari Cold Storage Pvt. Ltd.,"Ankireddypalem, Guntur",0.0,39.34,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08464.00MT
37,37,38,28AP20060000041,Andhra Pradesh,2005-06,Guntur,M/s Narayanadri Cold Storage Pvt. Ltd.,Ankireddypalem,0.0,27.06,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE010172.86MT
38,38,39,28AP20060000040,Andhra Pradesh,2005-06,Prakasam,M/s Rama Cold Storage Pvt. Ltd.,Addanki,0.0,47.23,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
39,39,40,28AP20060000045,Andhra Pradesh,2005-06,Guntur,M/s Kommineni Cold Storage,Ankireddypalem,0.0,32.27,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08086.00MT
40,40,41,28AP20060000043,Andhra Pradesh,2005-06,Prakasam,M/s Omkar Cold Storage,Ongole,0.0,47.82,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05161.00MT
41,41,42,28AP20060000044,Andhra Pradesh,2005-06,Prakasam,M/s Neeli Cold Storage,Yedugundlapadu,0.0,40.79,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06934.00MT
42,42,43,28AP20060000047,Andhra Pradesh,2006-07,Prakasam,M/s Pothula Chenchaiah Cold Storage,Tangutur,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05205.00MT
43,43,44,28AP20060000048,Andhra Pradesh,2006-07,Prakasam,M/s Sri Mahalakshmi Cold Storage,Throvagunta,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05485.00MT
44,44,45,28AP20060000038,Andhra Pradesh,2006-07,Prakasam,M/s K Yellamandaiah,"Uppugunduru, Prakasam",0.0,46.89,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
45,45,46,28AP20060000039,Andhra Pradesh,2006-07,Prakasam,M/s Sri Haritha ColdStorage Pvt. Ltd.,Pernamitta,0.0,42.55,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
46,46,47,NCDC-AP-2006-33,Andhra Pradesh,2006-07,Visakhapatnam,"Girijan Cooperative Coroporation Ltd (1st Phase), Fast Point Colony, Vishakhapatnam","Girijan Cooperative Coroporation Ltd (1st Phase), Fast Point Colony, Vishakhapatnam",220.0,50.0,Through NCDC,Under Implementation,COLD / CA STORAGECOLD STORAGE15000.00MT
47,47,48,NCDC-AP-2006-34,Andhra Pradesh,2006-07,Visakhapatnam,"Girijan Cooperative Coroporation Ltd (2nd Phase), Fast Point Colony, Vishakhapatnam","Girijan Cooperative Coroporation Ltd (2nd Phase), Fast Point Colony, Vishakhapatnam",200.0,50.0,Through NCDC,Under Implementation,COLD / CA STORAGECOLD STORAGE15000.00MT
48,48,49,28AP20060000029,Andhra Pradesh,2006-07,Krishna,M/s Sai Bhargava Cold Storage Pvt. Ltd.,"Nandigama, Krishna",0.0,44.63,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05000.00MT
49,49,50,28AP20060000030,Andhra Pradesh,2006-07,Krishna,M/s GSR Vanadurga Business Links Pvt. Ltd.,"Vijayawada, Krishna",0.0,26.57,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE03000.00MT
50,50,51,28AP20060000028,Andhra Pradesh,2006-07,Guntur,M/s Viswa Cold Storage Pvt. Ltd,"Ankireddypalem, Guntur",0.0,25.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE02000.00MT
51,51,52,28AP20060000046,Andhra Pradesh,2006-07,Prakasam,M/s Gayatri Cold Storage,Santhapeta,0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06000.00MT
52,52,53,28AP20060000042,Andhra Pradesh,2006-07,Prakasam,M/s Lakshmi Narayana Cold Storage,Pernamitta,0.0,38.69,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04000.00MT
53,53,54,28AP20070000050,Andhra Pradesh,2006-07,Guntur,M/s Tickwell Trexim Pvt. Ltd.,"Ankireddypalem, Guntur",0.0,37.78,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06438.35MT
54,54,55,28AP20070000034,Andhra Pradesh,2006-07,Prakasam,M/s Latha Cold STorage,"Ongole, Prakasam",0.0,48.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04800.00MT
55,55,56,28AP20080000052,Andhra Pradesh,2007-08,Krishna,M/s Kadiyala Cold Storage,"Toranaguntapalem, Chillakallu Gram Panchayat, Krishna District",0.0,46.22,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06415.00MT
56,56,57,28AP20080000051,Andhra Pradesh,2007-08,Krishna,M/s PNR Cold Storage,"Torraguntapalem Village, Jagayapet Mandal, Krishna",0.0,33.06,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08318.00MT
57,57,58,28AP20080000053,Andhra Pradesh,2008-09,Krishna,M/s Gayatri Cold Storage,"D No.6-29, Rytupet, Nadigama, Krishna",0.0,43.43,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06321.00MT
58,58,59,28AP20080000054,Andhra Pradesh,2008-09,Prakasam,M/s Parchoor Cold Storage Pvt. Ltd.,"S. No.596/2, Parchoor Village & Panchayat, Prakasam",0.0,46.92,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04992.00MT
59,59,60,28AP20080000026,Andhra Pradesh,2008-09,Guntur,M/s Amulya Cold Storage (formerly Lakshmi Balaji Cold Storage Pvt. Ltd.,"Lalpuram, NH - 5, Guntur",0.0,32.63,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE04099.00MT
60,60,61,28AP20100000056,Andhra Pradesh,2010-11,Guntur,M/s. Bhramari Cold Storage Pvt. Ltd.,"D No 625, Ankireddypalem, Guntur district",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07942.95MT
61,61,62,28AP20100000055,Andhra Pradesh,2010-11,Guntur,M/s. Sri Lakshmi Venkateswara Cold Storage Pvt. Ltd.,"D.No.693/3, N.H. 5, Ankireddypalem V, Guntur District",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08614.51MT
62,62,63,28AP20100000058,Andhra Pradesh,2010-11,Guntur,M/s. Sri Sai Tirumala Cold Storage Pvt. Ltd.,"D.No. 217/2, Kesunapalli village, Dachepalli, Guntur",0.0,48.25,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE010143.00MT
63,63,64,28AP20100000057,Andhra Pradesh,2010-11,Guntur,M/s. Vigneswara Cold Storage,"D. No.264/1A, Nandigama village, Sattanapalli, Guntur",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE010142.97MT
64,64,65,28AP20100000061,Andhra Pradesh,2010-11,Guntur,"M/s Dhanyalakshmi Cold Storage ( M. Somaiah , B. Krishna Murthy & P.Veera reddy),","D No 1949 & 1957/1, Gurzala Village, Guntur-522415",0.0,48.24,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08858.00MT
65,65,66,28AP20100000063,Andhra Pradesh,2010-11,Krishna,"M/s Haritha Cold Storage ( S.H.V.D.Radhika, S.Madhusudhana Rao & 2 others)","R.S No 357/1, Navabpet Village, Penganchiprolu Mandal, Krisha District",0.0,40.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07805.00MT
66,66,67,28AP20100000062,Andhra Pradesh,2010-11,Guntur,"M/s Lakshmi Narasimha Cold Storage Pvt. Ltd., ( Vanakuri Sambi Reddy & Smt. V.Atchamma)","D. No. 658/A, 659/B, 660/A, Ankireddy Palem Village, Guntur District",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05438.00MT
67,67,68,28AP20100000060,Andhra Pradesh,2010-11,Guntur,"M/s Pranati Cold Storage (Shri. P. Suresh kumar & Smt. P. Padmaja),","D No 557/3 & 553, Arundelpet, Ankireddypalem, Guntur",0.0,25.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE07705.00MT
68,68,69,28AP20100000059,Andhra Pradesh,2010-11,Prakasam,M/sJayagopala Cold Storage ( Koneru Nagamani Devi & K. Susmith),"Sy. No.306/1, 306/2, 306/3, Suravarapalle Village, Yeddanapudi Mandal, Prakasam District",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05449.00MT
69,69,70,28AP20110000065,Andhra Pradesh,2010-11,Krishna,M/s Kakarla Cold Storage ( Kakarla Nagabhushana Rao),"D NO.12-10-47, I Floor, Rishabh Towers, Convent street, Vijayawada",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE011693.00MT
70,70,71,28AP20110000064,Andhra Pradesh,2010-11,Guntur,M/s Sri Lakshmi Lavanya Cold Storages ( Athukuri Satyanarayana & A. Sambasiva Rao),"Door No.3/2 & 4, NH -5, Lalpuram Donka, Ethukuru Village, Guntur",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE08527.80MT
71,71,72,28AP20110000066,Andhra Pradesh,2010-11,Guntur,M/s Boppudi Cold Storage ( Sri R V Subba Rao),"S.No. 454,492, NH-5, Boppudi Village, Chilkaluri pet mandal, Guntur",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE05800.36MT
72,72,73,28AP20110000067,Andhra Pradesh,2010-11,Prakasam,M/s Sri Cold Storage ( Shri. Balineni Siva Vengala Reddy),"Plot no.168,169 & 182, Industrial Growth Centre, Gundlapalli Village, Maddipadu Mandal, Prakasam",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06246.00MT
73,73,74,28AAP0CS000002,Andhra Pradesh,2011-12,Chittoor,Himaja Alloys Private Limited,"Village-Mugilli, Taluka-Punganur, Dist-Chittoor (Andhra Pradesh)",1668.0,546.27,NHB,Completed,COLD / CA STORAGECA STORAGE205000.00MT
74,74,75,28AAP0CS000003,Andhra Pradesh,2011-12,Guntur,Sree Venkata Sai Raghavendra Cold Storage Pvt. Ltd,"Village-Ankireddy Palem, Taluka-Guntur Rural, Dist-Guntur (Andhra Pradesh)",734.0,85.47,NHB,Completed,COLD / CA STORAGECOLD STORAGE34998.00MT
75,75,76,28AAP0CS000006,Andhra Pradesh,2011-12,Guntur,Prudhvi Cold Storage Pvt. Ltd.,"Village-Vaddavalli, Taluka-Sattenapalle, Dist-Guntur (Andhra Pradesh)",450.0,62.07,NHB,Completed,COLD / CA STORAGECOLD STORAGE23922.00MT
76,76,77,28AAP0CS000007,Andhra Pradesh,2011-12,Guntur,Sri Chandra Sekhara Cold Storage Pvt. Ltd.,"Village-Lingayapalem, Taluka-Anki reddy Palem Sivaru, Dist-Guntur (Andhra Pradesh)",452.83,74.59,NHB,Completed,COLD / CA STORAGECOLD STORAGE45000.00MT
77,77,78,28AAP0CS000008,Andhra Pradesh,2011-12,Guntur,Y.C.R Cold Storage,"Village-Medikonduru, Taluka-Medikonduru, Dist-Guntur (Andhra Pradesh)",483.91,62.07,NHB,Completed,COLD / CA STORAGECOLD STORAGE23922.00MT
78,78,79,28AAP0CS000012,Andhra Pradesh,2012-13,Guntur,Sri Venkateswara Cold Storage,"Village-Prathipadu, Taluka-Prathipadu, Dist-Guntur (Andhra Pradesh)",440.0,62.07,NHB,Completed,COLD / CA STORAGECOLD STORAGE23922.00MT
79,79,80,28AP20130000068,Andhra Pradesh,2012-13,Prakasam,Sri Vasavi Cold Storage,"Sri Vasavi Cold Storage, Sy No 300/1, Pusapadu village, Inkollu Mandal, Prakasam District",0.0,50.0,Through NABARD,Completed,COLD / CA STORAGECOLD STORAGE06095.00MT
80,80,81,28AAP0CS000009,Andhra Pradesh,2013-14,Guntur,Siva Parvathi Cold Storage Pvt. Ltd.,"Village-Gangavaram, Taluka-Gurazala, Dist-Guntur (Andhra Pradesh)",430.0,68.61,NHB,Completed,COLD / CA STORAGECOLD STORAGE24544.00MT
81,81,82,28AAP0CS000028,Andhra Pradesh,2014-15,Krishna,Paritala Cold Storage,"Village-Kanchikacherla, Taluka-Kanchikacherla, Dist-Krishna (Andhra Pradesh)",569.98,70.32,NHB,Completed,COLD / CA STORAGECOLD STORAGE43924.00MT
82,82,83,28AAP0022360,Andhra Pradesh,2014-15,Srikakulam,A R Agro Fields (India) Pvt. Ltd.,"Village:- Khanapur, Taluka- Rajendera Â Nagar,",95.0,37.1,NHB,Completed,POST HARVEST INFRASTRUCTUREGRADING PACKING UNIT1100.00TONNES
83,83,84,28AAP0023071,Andhra Pradesh,2015-16,Chittoor,UNITED FOOD PRODUCTS,"VILLAGE- KONIREDDIPALLI, TALUKA- ERRACHERUVAPALLI, MANDAL-PUTHALAPATTU, DISTT.- CHITTOOR (ANDHRA PRADESH)",250.0,50.0,NHB,Completed,POST HARVEST INFRASTRUCTURERIPENING CHAMBER61440.00TONNES
84,84,85,28AAP0CS000021,Andhra Pradesh,2015-16,Prakasam,Chappidi Hanumantha Rao Cold Storage,"Pamidipadu Road, Ravinuthala Village, Korisapadu Mandal, Prakasam District,Andhra Pradesh.",509.1,79.29,NHB,Completed,COLD / CA STORAGECOLD STORAGE44683.00MT
85,85,86,28AAP0CS000023,Andhra Pradesh,2015-16,Prakasam,Cherukuri Cold Storage,"Edumudi Road, Uppugundur Village, Naguluppalapadu Mandal, Prasasam District, Andhra Pradesh",515.46,77.85,NHB,Completed,COLD / CA STORAGECOLD STORAGE44844.98MT
86,86,87,28AAP0CS000025,Andhra Pradesh,2015-16,Prakasam,Kokila Cold Storage,"Village and Mandal Naguluppalapadu, Distt Prakasam, Andhra Pradesh.",550.0,85.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE45000.00MT
87,87,88,28AAP0CS000022,Andhra Pradesh,2015-16,Prakasam,Komali Cold Storage Pvt. Ltd.,"Inkollu Village & Mandal, Prakasam District, Andhra Pradesh,",515.0,83.15,NHB,Completed,COLD / CA STORAGECOLD STORAGE44897.38MT
88,88,89,28AAP0CS000024,Andhra Pradesh,2015-16,Prakasam,Meenakshi Cold Storage,"Inokollu Village & Mandal, Distt. Prakasam (AP).",520.0,69.7,NHB,Completed,COLD / CA STORAGECOLD STORAGE24611.16MT
89,89,90,28AAP0CS000027,Andhra Pradesh,2015-16,Prakasam,SRINIVASA COLD STORAGE,"Chadalavada Village, Naguluppalapadu Mandal, Praksam Distt., Andhra Pradesh,",555.0,80.5,NHB,Completed,COLD / CA STORAGECOLD STORAGE45000.00MT
90,90,91,28AAP0CS000033,Andhra Pradesh,2016-17,Kurnool,Vani Venkateswara Cold Storage,"Village- Chabolu, Taluka- Nandyal, Distt.- Kurnool (Andhra Pradesh)",669.6,90.0,NHB,Completed,COLD / CA STORAGECOLD STORAGE45499.00MT
91,91,92,28AAP0CS000036,Andhra Pradesh,2017-18,Guntur,Jyothi Swarupa Exports LLP,"Village & Mandal - Rentachintala, District - Guntur (Andhra Pradesh)",965.0,214.2,NHB,Completed,COLD / CA STORAGECOLD STORAGE49760.00MT
92,92,93,28AAP0CS000029,Andhra Pradesh,2018-19,Guntur,Cauvery Chillies Trading Co.,"Village-Ankireddypalem, Taluka- Guntur, Distt.- Guntur(Andhra Pradesh)",40.0,10.82,NHB,Completed,COLD / CA STORAGECA STORAGE23000.00MT
93,93,94,28AAP0CS000034,Andhra Pradesh,2018-19,Kadapa,Gundlakunta Ware Housing Pvt. Ltd.,"Village-Gundlakunta, Taluka-Peddamudiaum, Dst-Kadapa (Andhra Pradesh)",994.53,181.54,NHB,Completed,COLD / CA STORAGECOLD STORAGE414357.00MT
